"Status","Name","Duration in ms","Description"
"passed","test_Web.TestLogin#test_pwd_hidden_show","3680","测试密码是否加星显示"
"passed","test_Web.TestLogin#test_pwd_with_capslock","5580","测试大写开启提示"
"passed","test_Web.TestLogin#test_brute_force","8958","错误登录次数限制"
"passed","test_Web.TestLogin#test_user_spce_filter","6463","测试用户名空格过滤"
"passed","test_Web.TestLogin#test_box_allignment","3062","测试textbox和按钮是否对齐"
"passed","test_Web.TestLogin#test_login_success","35906","测试正常登陆"
"passed","test_Web.TestLogin#test_open_login_speed","2514","测试打开速度"
"passed","test_Web.TestLogin#test_xss","6911","xss攻击"
"failed","test_Web.TestLogin#test_user_too_long","2685","测试用户名/密码过长"
"passed","test_Web.TestLogin#test_login_by_enter","35358","回车登录"
"passed","test_Web.TestLogin#test_login_correct","5872","登陆后跳转到正确页面"
"passed","test_Web.TestLogin#test_pwd_with_space","6735","测试密码前后有空格"
"passed","test_Web.TestLogin#test_tab_switch","5767","输入框使用tab切换"
"passed","test_Web.TestLogin#test_login_emptycheck","4213","非空检查"
"passed","test_Web.TestLogin#test_sql","10188","SQL注入攻击"
"passed","test_Web.TestLogin#test_func","12077","注册、忘记密码等链接是否正确"
"passed","test_Web.TestLogin#test_user_passwd_enc","2553","用户名密码是否加密传输"
"passed","test_Web.TestLogin#test_login_fail","34891","登陆后跳转到正确页面"
"passed","test_Web.TestLogin#test_auto_login","11214","测试自动登录"
"failed","test_Web.TestLogin#test_cookie_httponly","6253","登陆后的cookie"
"failed","test_Web.TestLogin#test_login_succ_speed","35153","登陆速度测试"
